concept_id,part_of_speech,lemmas,arabizi,english_lemmas,gloss,english_gloss
16345,1,جلدة | واقي,salama,condom | prophylactic | rubber | safe | safety,NO_GLOSS,contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse
16712,1,خامية,khamia,curtain | drape | drapery | mantle | pall,NO_GLOSS,hanging cloth used as a blind (especially for a window)
17121,1,باب,bab,door,NO_GLOSS,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
17342,1,سكنة,Dar,abode | domicile | dwelling | dwelling house | habitation | home,NO_GLOSS,housing that someone is living in
17625,1,لوزين | معمل | وزين,m3ml,factory | manufactory | manufacturing plant | mill,NO_GLOSS,a plant consisting of one or more buildings with facilities for manufacturing
17661,1,فيرمة,firma,farm,NO_GLOSS,workplace consisting of farm buildings and cultivated land as a unit
17855,1,راية,,flag,NO_GLOSS,emblem usually consisting of a rectangular piece of cloth of distinctive design
18054,1,قلعة,,fort | fortress,NO_GLOSS,a fortified defensive structure
18137,1,مقلة,,frying pan | frypan | skillet,NO_GLOSS,a pan used for frying foods
18226,1,ڭراج,,garage,NO_GLOSS,an outbuilding (or part of a building) for housing automobiles
18232,1,جردة | جنينة,jrda,garden,NO_GLOSS,a plot of ground where plants are cultivated
18459,1,قبر,9br,grave | tomb,NO_GLOSS,a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
18589,1,فنتة,,hairpin,NO_GLOSS,a double pronged pin used to hold women's hair in place
18969,1,سبيطار,sbiTar,hospital | infirmary,NO_GLOSS,a health facility where patients receive treatment
18979,1,أوطيل | فندق,2oTil,hotel,NO_GLOSS,a building where travelers can pay for lodging and meals and other services
19382,1,ساروت | مفتاح,sarout,key,NO_GLOSS,metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
19444,1,موس,mous,knife,NO_GLOSS,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle
19517,1,ركيزة,,lamppost,NO_GLOSS,a metal post supporting an outdoor lamp (such as a streetlight)
20131,1,بوق,,megaphone,NO_GLOSS,a cone-shaped acoustic device held to the mouth to intensify and direct the human voice
20160,1,سلعة,mntouj,merchandise | product | ware,NO_GLOSS,commodities offered for sale
20293,1,مراية,mraya,mirror,NO_GLOSS,polished surface that forms images by reflecting light
20384,1,جامع | مسجد,jam3,mosque,NO_GLOSS,(Islam) a Muslim place of worship that usually has a minaret
20809,1,فرّان,frran,oven,NO_GLOSS,kitchen appliance used for baking or roasting
21224,1,طرف,biasa,piece,NO_GLOSS,a separate part of a whole
21259,1,خدية | مخدة,mkhdda,pillow,NO_GLOSS,a cushion to support the head of a sleeping person
21324,1,فردي | كابوس,,handgun | pistol | shooting iron | side arm,NO_GLOSS,a firearm that is held and fired with one hand
21450,1,جيب,jib,pocket,NO_GLOSS,a small pouch inside a garment for carrying small articles
21576,1,فخار,,clayware | pottery,NO_GLOSS,ceramic ware made from clay and baked in a kiln
21652,1,حبْس,7bs,prison | prison house,NO_GLOSS,a correctional institution where persons are confined while on trial or for punishment
21943,1,ززوار | موس,,razor,NO_GLOSS,edge tool used in shaving
22077,1,ريسطورة,risTora,eating house | eating place | restaurant,NO_GLOSS,a building where people go to eat
22132,1,مكحلة,mk7la,rifle,NO_GLOSS,a shoulder firearm with a long barrel and a rifled bore
22169,1,طْريق,Tri9,road | route,NO_GLOSS,an open way (generally public) for travel or transportation
22211,1,مدلاك | مدلوك,,rolling pin,NO_GLOSS,utensil consisting of a cylinder (usually of wood) with a handle at each end; used to roll out dough
22223,1,سقف,STa7,roof,NO_GLOSS,a protective covering that covers or forms the top of a building
22299,1,زربية,zrbia,carpet | carpeting | rug,NO_GLOSS,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
22754,1,قميجة,9amija,shirt,NO_GLOSS,a garment worn on the upper half of the body
22764,1,سباط,sbbat,shoe,NO_GLOSS,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
22782,1,حانوت,ma7al,shop | store,NO_GLOSS,a mercantile establishment for the retail sale of goods or services
22991,1,كم,dra3,arm | sleeve,NO_GLOSS,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
23107,1,تقاشر | تقشيرة,,sock,NO_GLOSS,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
23219,1,نضاضر | نظاظر,nDadr,eyeglasses | glasses | specs | spectacles,NO_GLOSS,optical instrument consisting of a pair of lenses for correcting defective vision
23297,1,عشقة | معلقة,3ach9a,spoon,NO_GLOSS,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
23807,1,مسبح,pisin,natatorium | swimming bath | swimming pool,NO_GLOSS,pool that provides a facility for swimming
23967,1,براد,,teapot,NO_GLOSS,pot for brewing tea; usually has a spout and handle
24750,1,كمنجة,kamanja,fiddle | violin,NO_GLOSS,bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
24850,1,مكينة التصبين | مكينة الصابون | مكينة الغسيل,,automatic washer | washer | washing machine,NO_GLOSS,a home appliance for washing clothes and linens automatically
25539,1,زين,alzzine,beauty,NO_GLOSS,the qualities that give pleasure to the senses
25583,1,توحيمة,,birthmark | nevus,NO_GLOSS,a blemish on the skin that is formed before birth
25851,1,فْرق,fer9,difference,NO_GLOSS,the quality of being unlike or dissimilar
26893,1,لون,loun,color | coloring | colour | colouring,NO_GLOSS,a visual attribute of things that results from the light they emit or transmit or reflect
28220,1,جسم,jism,body | organic structure | physical structure,NO_GLOSS,the entire structure of an organism (especially an animal or human being)
28413,1,تحسينة | تقطيعة,,coif | coiffure | hair style | hairdo | hairstyle,NO_GLOSS,the arrangement of the hair (especially a woman's hair)
28449,1,شلغوم,mostach,moustache | mustache,NO_GLOSS,an unshaved growth of hair on the upper lip
28657,1,فا,fom,mouth | oral cavity | oral fissure | rima oris,NO_GLOSS,the opening through which food is taken in and vocalizations emerge
29114,1,رية,riyya,lung,NO_GLOSS,either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
29881,1,عنق,3ng,cervix | neck,NO_GLOSS,the part of an organism that connects the head to the rest of the body
29943,1,ضهر,llour,back | dorsum,NO_GLOSS,the posterior part of a human (or animal) body from the neck to the end of the spine
29947,1,ترمة,7nk,buttock | cheek,NO_GLOSS,either of the two large fleshy masses of muscular tissue that form the human rump
29958,1,فخد,fkhD,thigh,NO_GLOSS,the part of the leg between the hip and the knee
29967,1,إيد | يد,yed,hand | manus | mitt | paw,NO_GLOSS,the (prehensile) extremity of the superior limb
29968,1,بونية,,clenched fist | fist,NO_GLOSS,a hand with the fingers clenched in the palm (as for hitting)
30015,1,ركبة,rkba,articulatio genus | genu | human knee | knee | knee joint,NO_GLOSS,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
30052,1,كوع | مرفق,mrf9,articulatio cubiti | cubital joint | cubitus | elbow | elbow joint | human elbow,NO_GLOSS,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
30157,1,وجه,wjh,face | human face,NO_GLOSS,the front of the human head from the forehead to the chin and ear to ear
30164,1,جبهة,jb8a,brow | forehead,NO_GLOSS,the part of the face above the eyes
33289,1,لُغَة,lougha,language | linguistic communication,NO_GLOSS,a systematic means of communicating by the use of sounds or conventional symbols
33922,1,كتاب,ktab,book,NO_GLOSS,a written work or composition that has been published (printed on pages bound together)
34014,1,موسوعة,,cyclopaedia | cyclopedia | encyclopaedia | encyclopedia,NO_GLOSS,a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
34948,1,معلومة,m3loma,info | information,NO_GLOSS,a message received and understood
35626,1,هدرة,marji3,mention | reference,NO_GLOSS,a remark that calls attention to something or someone
38980,1,غوات,,blare | blaring | cacophony | clamor | din,NO_GLOSS,a loud harsh or strident noise
39393,1,عرس,3rs,hymeneals | nuptials | wedding | wedding ceremony,NO_GLOSS,the social event at which the ceremony of marriage is performed
39784,1,خلعة | خوف,khawf,fear | fearfulness | fright,NO_GLOSS,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
39928,1,كره,3adawa,hate | hatred,NO_GLOSS,the emotion of hate; a feeling of dislike so strong that it demands action
39991,1,ماكلة الزنقة | مالكة برا,,fast food,NO_GLOSS,inexpensive food (hamburgers or chicken or milkshakes) prepared and served quickly
40043,1,دجيج | طحين,dgig,flour,NO_GLOSS,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
40076,1,فطور,fTor,breakfast,NO_GLOSS,the first meal of the day (usually in the morning)
40814,1,خبز | قرص,khobz,bread | breadstuff | staff of life,NO_GLOSS,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
41237,1,توت,,berry,NO_GLOSS,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
41299,1,زبيب | زبيبة,,raisin,NO_GLOSS,dried grape
41375,1,أفوكا,avoka,aguacate | alligator pear | avocado | avocado pear,NO_GLOSS,a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed
41394,1,إجاص | بوعويد,bou3ouid,pear,NO_GLOSS,sweet juicy gritty-textured fruit available in many varieties
41430,1,كوك,,coconut | coconut meat,NO_GLOSS,the edible white meat a coconut; often shredded for use in e.g. cakes and curries
41918,1,سمن,,ghee,NO_GLOSS,clarified butter used in Indian cookery
41921,1,دانون,,yoghourt | yoghurt | yogurt,NO_GLOSS,a custard-like food made from curdled milk
41935,1,جبن,,cottage cheese | farm cheese | farmer's cheese | pot cheese,NO_GLOSS,mild white cheese made from curds of soured skim milk
41991,1,عْسل‎‎,,honey,NO_GLOSS,a sweet yellow liquid produced by bees
42004,1,عجينة,3jina,dough,NO_GLOSS,a flour mixture stiff enough to knead or roll
44810,1,غابة,ghaba,forest | wood | woods,NO_GLOSS,the trees and other plants in a large densely wooded area
45133,1,روضة | قبورات | مقبرة,,burial ground | burial site | burying ground | cemetery | graveyard | memorial park | necropolis,NO_GLOSS,a tract of land used for burials
45282,1,خر,ni8aya,end,NO_GLOSS,either extremity of something that has length
46123,1,كشكوشة,,foam | froth,NO_GLOSS,a mass of small bubbles formed in or on a liquid
46174,1,تل | هضبة,kdia,hill,NO_GLOSS,a local and well-defined elevation of the land
46559,1,شمس | شمش,chmch,sun,NO_GLOSS,a typical star that is the source of light and heat for the planets in the solar system
48407,1,عروسة,3rousa,bride,NO_GLOSS,a woman who has recently been married
48714,1,موضف | موضفة,,civil servant,NO_GLOSS,a public official who is a member of the civil service
48760,1,خراز | طراف,kherraz,cobbler | shoemaker,NO_GLOSS,a person who makes or repairs shoes
49100,1,بنت,bent,daughter | girl,NO_GLOSS,a female human offspring
49262,1,طبيب,Tbib,doc | doctor | dr. | md | medico | physician,NO_GLOSS,a licensed medical practitioner
49586,1,فلاح,,farmer | granger | husbandman | sodbuster,NO_GLOSS,a person who operates a farm
49901,1,بنت | درية,bnt,fille | girl | miss | missy | young lady | young woman,NO_GLOSS,a young woman
50044,1,ضِيف,,guest | invitee,NO_GLOSS,a visitor to whom hospitality is extended
50157,1,ورتة,,heir | heritor | inheritor,NO_GLOSS,a person who is entitled by law or by the terms of a will to inherit the estate of another
50306,1,صياد,,hunter | huntsman,NO_GLOSS,someone who hunts game
50599,1,مول الدار,,landlord,NO_GLOSS,a landowner who leases to others
50630,1,محامي,mo7ami,attorney | lawyer,NO_GLOSS,a professional person authorized to practice law; conducts lawsuits or gives legal advice
50831,1,فاكتور,,carrier | letter carrier | mail carrier | mailman | postman,NO_GLOSS,a man who delivers the mail
50854,1,راجل,3zwa,adult male | man,NO_GLOSS,an adult person who is male (as opposed to a woman)
51733,1,لعاب | لعايبي,la3ib,participant | player,NO_GLOSS,a person who participates in or is skilled at some game
51889,1,قسيس,,priest,NO_GLOSS,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
52336,1,ولي | ولي صالح,,saint,NO_GLOSS,a person who has died and has been declared a saint by canonization
52774,1,عسكري,3skri,soldier,NO_GLOSS,an enlisted man or woman who serves in an army
53095,1,جراح,,operating surgeon | sawbones | surgeon,NO_GLOSS,a physician who specializes in surgery
53192,1,أستاد | معلم,mo3llim,instructor | teacher,NO_GLOSS,a person whose occupation is teaching
53796,1,مرا,mra,adult female | woman,NO_GLOSS,an adult female person (as opposed to a man)
54118,1,ضباب | ضبابة,,fog,NO_GLOSS,droplets of water vapor suspended in the air near the ground
54206,1,ضو,DDo,light | visible light | visible radiation,NO_GLOSS,(physics) electromagnetic radiation that can produce a visual sensation
54345,1,شْتا,chta,rain | rainfall,NO_GLOSS,water falling in drops from vapor condensed in the atmosphere
54384,1,تلج,telj,snow | snowfall,NO_GLOSS,precipitation falling from clouds in the form of ice crystals
54486,1,ريح,ri7,air current | current of air | wind,NO_GLOSS,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
57832,1,بلوط | بلوطة,,acorn,NO_GLOSS,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
57881,1,فرْشي | فرْنان,,cork oak | quercus suber,NO_GLOSS,medium-sized evergreen oak of southern Europe and northern Africa having thick corky bark that is periodically stripped to yield commercial cork
64738,1,سنتيم,,centimeter | centimetre | cm,NO_GLOSS,a metric unit of length equal to one hundredth of a meter
66536,1,زواج,jwaj,marriage | matrimony | spousal relationship | union | wedlock,NO_GLOSS,the state of being a married couple voluntarily joined for life (or until divorce)
66857,1,رقاد | نعاس,n3as,sleep | slumber,NO_GLOSS,a natural and periodic state of rest during which consciousness of the world is suspended
67372,1,قرع | ڭوب,,ringworm | roundworm | tinea,NO_GLOSS,infections of the skin or nails caused by fungi and appearing as itching circular patches
67465,1,ضيقة,DDi9a,asthma | asthma attack | bronchial asthma,NO_GLOSS,respiratory disorder characterized by wheezing; usually of allergic origin
68688,1,سخانة,skhana,febricity | febrility | fever | feverishness | pyrexia,NO_GLOSS,a rise in the temperature of the body; frequently a symptom of infection
68934,1,مشكل | مشكلة | مصيبة,khdma,job | problem,NO_GLOSS,a state of difficulty that needs to be resolved
69130,1,صحة,se77a,health | wellness,NO_GLOSS,a healthy state of wellbeing free from disease
69892,1,پلاستيك | ميكا,plastic,plastic,NO_GLOSS,generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
71219,1,غبار,,dust,NO_GLOSS,fine powdery material such as dry earth or pollen that can be blown about in the air
71852,1,رخام,,marble,NO_GLOSS,a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
71906,1,غيس,ghis,clay | mud,NO_GLOSS,water soaked soil; soft wet earth
72268,1,بلوك نط,,notepad,NO_GLOSS,a pad of paper for keeping notes
72326,1,سَمّ,,poison | poisonous substance | toxicant,NO_GLOSS,any substance that causes injury or illness or death of a living organism
72648,1,زريعة الكتان,,flaxseed | linseed,NO_GLOSS,the seed of flax used as a source of oil
72997,1,البارح,lbar7,yesterday,NO_GLOSS,the day immediately before today
73040,1,صباح,sba7,forenoon | morn | morning | morning time,NO_GLOSS,the time period between dawn and noon
73069,1,أُسبوع | سيمانة,Simana,hebdomad | week,NO_GLOSS,any period of seven consecutive days
73829,2,وافْر,,abundant,NO_GLOSS,present in great quantity
74521,2,غاضب | غضبان | معصب,ghDban,angry,NO_GLOSS,feeling or showing anger
75131,2,جميل | زوين | غزال,zwin,beautiful,NO_GLOSS,delighting the senses or exciting intellectual or emotional admiration
75147,2,خايب,khayb,ugly,NO_GLOSS,displeasing to the senses
76146,2,رمادي,,gray | grayish | grey | greyish,NO_GLOSS,of an achromatic color of any lightness intermediate between the extremes of white and black
76339,2,موسخ,mossekh,dirty | soiled | unclean,NO_GLOSS,soiled or likely to soil with dirt or grime
76457,2,بعاد | بعيد | بعيدة,b3id,far,NO_GLOSS,at a great distance in time or space or degree
76547,2,عريان,3ryan,au naturel | bare | naked | nude,NO_GLOSS,completely unclothed
78180,2,واعر,S3ib,difficult | hard,NO_GLOSS,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
78443,2,سكران | سكرانة,,drunk | inebriated | intoxicated,NO_GLOSS,stupefied or excited by a chemical substance (especially alcohol)
78533,2,بكري,bkri,early,NO_GLOSS,at or near the beginning of a period of time or course of events or before the usual or expected time
79188,2,رْخيص,rkhiS,cheap | inexpensive,NO_GLOSS,relatively low in price or charging low prices
79300,2,عور,,one-eyed,NO_GLOSS,having or showing only one eye
79896,2,حر | حرات | حرة | حرين,7orr,free,NO_GLOSS,able to act at will; not hampered; not under compulsion or restraint
80034,2,عامر | عامرة,3aamr,full,NO_GLOSS,containing as much or as many as is possible or normal
80163,2,خاص,mo7ddad,particular | peculiar | special,NO_GLOSS,unique or specific to a person or thing or category
80269,2,مزِيان | ملِيح,zwin,good,NO_GLOSS,having desirable or positive qualities especially those suitable for a thing specified
80279,2,خايب,khayb,bad,NO_GLOSS,having undesirable or negative qualities
80404,2,مسكين | مسكينة,mskin,miserable | suffering | wretched,NO_GLOSS,very unhappy; full of misery
80602,2,تْقيل,t9il,heavy,NO_GLOSS,of comparatively great physical weight or density
81063,2,جيعان,ji3an,hungry,NO_GLOSS,feeling hunger; feeling a need or desire to eat food
81108,2,وسْطاني,markazi,cardinal | central | fundamental | key | primal,NO_GLOSS,serving as an essential component
81139,2,عضيم | فن,mota2lli9,brilliant | glorious | magnificent | splendid,NO_GLOSS,characterized by grandeur
81631,2,ضريف,Drief,kind,NO_GLOSS,having or showing a tender and considerate and helpful nature; used especially of persons and their behavior
81739,2,صغير,sghir,little | small,NO_GLOSS,limited or below average in number or quantity or magnitude or extent
82024,2,طويل | طويلة,Twil,long,NO_GLOSS,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
83199,2,جديد,jdid,new,NO_GLOSS,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
83215,2,قديم,charf,old,NO_GLOSS,(used especially of persons) having lived for a relatively long time or attained a specific age
83272,2,محلول,m7loul,open | unfastened,NO_GLOSS,affording unobstructed entrance and exit; not shut or closed
85626,2,مختلف | مغاير,mbeddel,different,NO_GLOSS,unlike in nature or quality or form or degree
85668,2,حمق | مسطي | هبيل,msbiTr,brainsick | crazy | demented | distracted | disturbed | mad | sick | unbalanced | unhinged,NO_GLOSS,affected with madness or insanity
87229,2,عيّان,D3if,weak,NO_GLOSS,having little physical or spiritual strength
88602,2,عريض,mtisse3,broad | wide,NO_GLOSS,having great (or a certain) extent from one side to the other
89966,2,قمري,,lunar,NO_GLOSS,of or relating to or associated with the moon
90268,2,شمسي | شمشي,chmsi,solar,NO_GLOSS,relating to or derived from the sun or utilizing the energies of the sun
92654,3,سعل | كح | كحب,k7ob,cough,NO_GLOSS,"exhale abruptly, as when one has a chest cold or congestion"
92699,3,رقد | نعس,n3s,catch some z's | kip | log z's | sleep | slumber,NO_GLOSS,be asleep
92711,3,شخر,,saw logs | saw wood | snore,NO_GLOSS,breathe noisily during one's sleep
92719,3,فيّق,fa9,arouse | awaken | rouse | wake | wake up | waken,NO_GLOSS,cause to become awake or conscious
92889,3,لْبس,lbs,have on | wear,NO_GLOSS,be dressed in
93177,3,تبدل | تغير,bddel,change,NO_GLOSS,undergo a change; become different in essence; losing one's or its original nature
93534,3,حلب,,milk,NO_GLOSS,take milk from female mammals
94369,3,مات,khne9,buy the farm | cash in one's chips | choke | conk | croak | decease | die | drop dead | exit | expire | give-up the ghost | go | kick the bucket | pass | pass away | perish | pop off | snuff it,NO_GLOSS,pass from physical life and lose all bodily attributes and functions necessary to sustain life
94379,3,زاد,,be born,NO_GLOSS,come into existence through birth
94596,3,وْجّد,Sle7,fix | gear up | prepare | ready | set | set up,NO_GLOSS,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"
94682,3,بان,ban,emerge,NO_GLOSS,"come out into view, as from concealment"
94805,3,خوى,khwa,empty,NO_GLOSS,make void or empty of contents
94945,3,محى,,erase | wipe out,NO_GLOSS,remove from memory or existence
94966,3,كمّل,kemmel,complete | finish,NO_GLOSS,come or bring to a finish or an end
95532,3,فهم,fhem,understand,NO_GLOSS,know and comprehend the nature or meaning of
95570,3,تعلم,ktaseb,acquire | larn | learn,NO_GLOSS,gain knowledge or skills
95619,3,عقل,fkker,call back | call up | recall | recollect | remember | retrieve | think,NO_GLOSS,recall knowledge from memory; have a recollection
95630,3,نسى,dfn,bury | forget,NO_GLOSS,dismiss from the mind; stop remembering
95789,3,عبر | قيس,3ber,measure | measure out | mensurate,NO_GLOSS,"determine the measurements of something or somebody, take measurements of"
95951,3,تاق,2amn,believe,NO_GLOSS,accept as true; take to be true
96423,3,سال | سقصى | سول,swwl,ask | enquire | inquire,NO_GLOSS,inquire about
96609,3,خطب,,preach | prophesy,NO_GLOSS,deliver a sermon
96915,3,بلغ سلام | سلم,7eyya,greet | recognise | recognize,NO_GLOSS,express greetings upon meeting someone
96965,3,شْكَى,chka,complain | kick | kvetch | plain | quetch | sound off,NO_GLOSS,"express complaints, discontent, displeasure, or unhappiness"
97129,3,تكلم | دوى | هدر,dwa,mouth | speak | talk | utter | verbalise | verbalize,NO_GLOSS,express in speech
97207,3,ترْجم,fsser,interpret | render | translate,NO_GLOSS,restate (words) from one language into another language
97853,3,تدابز,ddabz,contend | fight | struggle,NO_GLOSS,be engaged in a fight; carry on a fight
97897,3,ربح | فاز,rb7,win,NO_GLOSS,be the winner in a contest or competition; be victorious
98270,3,شْرب,chrb,drink | imbibe,NO_GLOSS,take in liquids
98435,3,بلع | سرط,sreT,get down | swallow,NO_GLOSS,pass through the esophagus as part of eating or drinking
98457,3,قاس,9as,touch,NO_GLOSS,"make physical contact with, come in contact with"
98505,3,شد | قبط | مسك,stow3eb,grasp | hold on,NO_GLOSS,hold firmly
98698,3,حك | فرك,,scour | scrub,NO_GLOSS,clean with hard rubbing
98898,3,رْبط,rbeT,bind | tie,NO_GLOSS,"fasten or secure with a rope, string, or cord"
99108,3,قتل,9tl,kill,NO_GLOSS,"cause to die; put to death, usually intentionally or knowingly"
99151,3,لصق,,glue | paste,NO_GLOSS,join or attach with or as if with glue
99684,3,باس,baas,buss | kiss | osculate,NO_GLOSS,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc."
99994,3,حط,7eTT,lay | place | pose | position | put | set,NO_GLOSS,put into a certain place or abstract location
100716,3,تخيل | تصور,tSower,conceive of | envisage | ideate | imagine,NO_GLOSS,form a mental image of something that is not present or that is not the case
100797,3,بْنى,bna,build | construct | make,NO_GLOSS,make by combining materials and parts
100850,3,طبخ | طيب,Tyyb,cook,NO_GLOSS,prepare a hot meal
101339,3,تهدن,kalma,calm | calm down | chill out | cool it | cool off | settle down | simmer down,NO_GLOSS,"become quiet or calm, especially after a state of agitation"
101407,3,خلع,khle3,affright | fright | frighten | scare,NO_GLOSS,cause fear in
101415,3,تخلع | خاف,khaf,fear,NO_GLOSS,be afraid or feel anxious or apprehensive about a possible or probable situation or event
101628,3,بغى | حب,bgha,desire | want,NO_GLOSS,feel or have a desire for; want strongly
101781,3,وقف,w99ef,halt | stop,NO_GLOSS,"come to a halt, stop moving"
101952,3,رقص | زفن | شطح,chTe7,dance,NO_GLOSS,move in a graceful and rhythmical way
102118,3,جْرى,jrra,run,NO_GLOSS,"move fast by using one's feet, with one foot off the ground at any given time"
102256,3,بعت | صيفط,wjje8,direct | send,NO_GLOSS,cause to go somewhere
102354,3,نزل | هبط,8beT,come down | descend | fall | go down,NO_GLOSS,"move downward and lower, but not necessarily all the way"
102421,3,قام | ناض | وقف,nche2,arise | get up | rise | stand up | uprise,NO_GLOSS,rise to one's feet
102536,3,وصل,wSl,arrive | come | get,NO_GLOSS,reach a destination; arrive by movement or progress
102588,3,خرج,khrj,exit | get out | go out | leave,NO_GLOSS,move out of or depart from
102593,3,دخل,dkhel,come in | enter | get in | get into | go in | go into | move into,NO_GLOSS,to come or go into
102905,3,جاب,jab,bring | convey | take,NO_GLOSS,take something or somebody with oneself somewhere
103165,3,شاف,chaf,see,NO_GLOSS,perceive by sight or have the power to perceive by sight
103170,3,شاف,chaf,look,NO_GLOSS,perceive with attention; direct one's gaze towards
103224,3,بغى يبان,,flash | flaunt | ostentate | show off | swank,NO_GLOSS,display proudly; act ostentatiously or pretentiously
103239,3,خبا | درق,khb,conceal | hide,NO_GLOSS,prevent from being seen or discovered
103259,3,قدم | ورى,br8n,demo | demonstrate | exhibit | present | show,NO_GLOSS,show or demonstrate something to an interested audience
103325,3,عمى,,bedazzle | daze | dazzle,NO_GLOSS,"to cause someone to lose clear vision, especially from intense light"
103364,3,سْمع,sm3,hear,NO_GLOSS,perceive  (sound) via the auditory sense
